I
1100 Version - data cycle 2208, build 20220623, metadata NavXP1100. Copyright (c) 2022 Bjoern Ebbrecht

 3  35.153524221   33.276422833      722    10975   130      4.500  NIC ENRT LC NICOSIA VOR/DME
12  35.153524221   33.276422833      722    10975   130      0.000  NIC ENRT LC NICOSIA VOR/DME
 4  35.139755841   33.286024842      722    11055    25  50545.320 INCE LCEN LC 14 ILS-cat-III
 6  35.159829912   33.267709285      722    11055    25 350145.320 INCE LCEN LC 14 GS    
12  35.159829912   33.267709285      722    11055    25      0.000 INCE LCEN LC NICOSIA DME-ILS
 3   35.153524221  33.276422833      722    10975   130      4.500  NIC LCEN LC NICOSIA VORTAC
 12  35.153524221  33.276422833      722    10975   130      0.000  NIC LCEN LC NICOSIA DME-ILS
 4   35.16167800   33.267503000      722    11115    25 115525.320 INCW LCEN LC 32 ILS-cat-III
 6   35.143691373  33.281787602      722    11115    25 300325.320 INCW LCEN LC 32 GS    
12   35.143691373  33.281787602      722    11115    25      0.000 INCW LCEN LC NICOSIA DME-ILS

99
 
