I
1101 Version - data cycle 2208, build 20220623, metadata FixXP1101. Copyright (c) 2022 Bjoern Ebbrecht
                 
 35.181313813   33.294856357  NCC01 LCEN LC 2105409
 35.168983794   33.298943321  NCC02 LCEN LC 2105409
 35.215637924   33.297711547  NCC03 LCEN LC 2105409
 
 35.232949339   33.313357179  PROVA LCEN LC 4604247
 35.233275946   33.299180608  NC266 LCEN LC 4608855
 35.216655871   33.275814089  NC265 LCEN LC 4608855
 35.180265532   33.274482399  NC264 LCEN LC 4608855

 35.197611898   33.296102282  NICON LCEN LC 4604247
 35.181058290   33.315434334  NC263 LCEN LC 4608855
 35.168994034   33.315324905  NC262 LCEN LC 4608855
 35.155503602   33.298841714  NC261 LCEN LC 4608855
 35.106444347   33.321535576  LAKTM LCEN LC 4604247
 35.132123359   33.399982452  NCE01 LCEN LC 4608855
 35.093085770   33.364105224  NCE02 LCEN LC 4608855

 35.295408281   33.054925591  NC123 LCEN LC 4608855
 35.371099754   33.189119513  NC124 LCEN LC 4608855
 35.333272554   33.121991133  CI14  LCEN LC 4604745
 35.281322458   33.166138250  FI14  LCEN LC 4604745
 35.270812997   33.175118776  CP14  LCEN LC 4604745
 35.216101665   33.221505068  FP14  LCEN LC 4604745
 35.149446788   33.032303440  CD08  LCEN LC 4604745
 35.150860335   33.113673834  FD08  LCEN LC 4604745

 34.971245630   33.427383660  CI32  LCEN LC 4604745
 35.040120910   33.369785300  FI32  LCEN LC 4604745
 35.151230715   33.038645475  CP08  LCEN LC 4604745
 35.152632573   33.120017950  FP08  LCEN LC 4604745
 35.156243649   33.346354409  CP26  LCEN LC 4604745
 35.155892103   33.323364434  FP26  LCEN LC 4604745

99
 
